eta,V_i,T_top,T_bot,T_avg,theta,alpha,alpha_e,V_w,V_a,L,D,M_air,Cl,Cd,Cm,iter,a_v,a_v_Va,a_v_Vi,std(alpha_e)
0,1,4.2374,4.245,4.2412,89.355,89.355,89.355,0,1,0.0057411,0.095529,-0.001853,0.10825,1.8012,-0.4016,4,0.0062485,0.0062485,0.0062485,2.00E-09
0.05,1,4.2398,4.2458,4.2428,89.136,89.136,56.12,0.6563,1.2044,0.072226,0.10569,-0.001451,0.93887,1.3739,-0.2168,4,0.33501,0.0090636,0.0062485,3.47E-09
0.1,1,4.243,4.2483,4.2457,88.708,88.708,36.817,1.313,1.6683,0.14967,0.1194,-0.0012853,1.014,0.80888,-0.10008,4,0.61749,0.017391,0.0062485,3.36E-09
0.15,1,4.2425,4.2511,4.2468,88.34,88.34,26.569,1.9698,2.2348,0.21556,0.11853,-0.002108,0.81383,0.4475,-0.091476,4,0.96374,0.031207,0.0062485,4.80E-10
0.2,1,4.2603,4.2689,4.2646,88.379,88.379,20.594,2.6319,2.8418,0.20894,0.12658,-0.0020864,0.48783,0.29553,-0.05599,4,1.6698,0.050463,0.0062485,2.85E-09
0.25,1,4.2794,4.2796,4.2795,88.507,88.507,16.749,3.2957,3.4689,0.19029,0.1349,-5.54E-05,0.29817,0.21138,-0.00099804,4,2.764,0.075189,0.0062485,4.94E-10
0.3,1,4.2727,4.26,4.2664,88.474,88.474,14.115,3.9487,4.0991,0.20753,0.10184,0.0031099,0.23288,0.11428,0.040113,5,3.8224,0.10499,0.0062485,7.46E-15
0.35,1,4.3202,3.9631,4.1417,109,104.37,11.305,4.5396,4.404,0.74331,0.0281,0.002647,0.72263,0.027318,0.029578,4,1.3734,0.12119,0.0049623,0.061758
0.4,1,4.111,4.0961,4.1036,81.676,81.676,10.558,5.1638,5.4,1.243,0.037331,0.0036429,0.80371,0.024139,0.027075,5,1.2373,0.18221,0.0062485,2.59E-12
0.45,1,4.0635,4.0483,4.0559,79.069,79.069,9.3466,5.7758,6.0457,1.6242,0.042616,0.0037116,0.83787,0.021985,0.022008,4,1.1884,0.22838,0.0062485,2.12E-09
0.5,1,4.0278,4.0131,4.0205,77.081,77.081,8.3841,6.3897,6.6847,1.9111,0.047359,0.0035851,0.80642,0.019984,0.017388,4,1.2355,0.27922,0.0062485,9.14E-11
0.55,1,3.9966,3.9826,3.9896,75.358,75.358,7.5965,7.0019,7.3189,2.1574,0.052826,0.0034106,0.75941,0.018595,0.013799,4,1.3125,0.33471,0.0062485,6.25E-11
